route_id;route_long_name;stop_id;stop_name;OperatorName;ArRTown;ArRPostalRegion;stop_Geopoint;ArRXEpsg2154;ArRYEpsg2154;shortName;bookingRules;mode;Pointgeo;Nom_commune;Code_insee;Extensions;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns
IDFM:C01102;66;IDFM:25751;La Condamine;RATP Cap Boucle Nord de Seine;Paris 17e;75117;48.884564402232265, 2.3192874864816155;650081;6865165;66;;Bus;48.88456440224587, 2.319287486481616;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01102:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01289;330;IDFM:424937;Place du Marché;Origami / Paris Seine Mobilités;Pantin;93055;48.91414653914911, 2.411637898225739;656877;6868400;330;;Bus;48.914146539162644, 2.4116378982257394;Pantin;93055;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01289:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01289;330;IDFM:23590;Ciné 104;Origami / Paris Seine Mobilités;Pantin;93055;48.89222666837993, 2.409052189900396;656670;6865964;330;;Bus;48.89222666839351, 2.409052189900396;Pantin;93055;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01289:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01292;340;IDFM:24944;Sévines;RATP Cap Boucle Nord de Seine;Gennevilliers;92036;48.926857516183674, 2.3002687265659434;648728;6869880;340;;Bus;48.92685751619719, 2.300268726565944;Gennevilliers;92036;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01292:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01294;341;IDFM:490977;Square Sainte-Odile;RATP;Paris 17e;75117;48.886507716829264, 2.2976198394375773;648494;6865395;341;;Bus;48.886507716842864, 2.2976198394375773;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01294:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";false;unknown;unknown
IDFM:C01294;341;IDFM:28359;Rue Pierre;RATP;Clichy;92024;48.910285311240074, 2.31304349023207;649648;6868029;341;;Bus;48.91028531125362, 2.3130434902320705;Clichy;92024;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01294:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01294;341;IDFM:9112;Pierre Demours;RATP;Paris 17e;75117;48.88104367917368, 2.2952254557719227;648313;6864789;341;;Bus;48.881043679187286, 2.295225455771923;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01294:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01295;346;IDFM:19234;Les 4 Tours;Transdev Ourcq;Le Blanc-Mesnil;93007;48.92543621788537, 2.474304523850691;661479;6869623;346;;Bus;48.92543621789887, 2.474304523850691;Le Blanc-Mesnil;93007;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01295:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";false;unknown;unknown
IDFM:C01295;346;IDFM:39042;Église Notre Dame;Transdev Ourcq;Le Blanc-Mesnil;93007;48.93673455384007, 2.4649082416715684;660799;6870884;346;;Bus;48.93673455385355, 2.464908241671569;Le Blanc-Mesnil;93007;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01295:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";false;unknown;unknown
IDFM:C01578;607;IDFM:39042;Église Notre Dame;Transdev Nord Seine-Saint-Denis;Le Blanc-Mesnil;93007;48.93673455384007, 2.4649082416715684;660799;6870884;607;;Bus;48.93673455385355, 2.464908241671569;Le Blanc-Mesnil;93007;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01578:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";false;unknown;unknown
