stop_id_a,nom_a,stop_id_b,nom_b,duree_moyenne_secondes,nb_observations
IDFM:462956,Exelmans,IDFM:463259,"Porte de Saint-Cloud",64,1338
IDFM:463259,"Porte de Saint-Cloud",IDFM:21940,"Marcel Sembat",106,1353
IDFM:21940,"Marcel Sembat",IDFM:463035,Billancourt,68,1353
IDFM:463035,Billancourt,IDFM:463233,"Pont de Sèvres",69,1353
IDFM:463221,"Mairie de Montreuil",IDFM:463176,"Croix de Chavaux",79,1323
IDFM:463176,"Croix de Chavaux",IDFM:463053,Robespierre,82,1323
IDFM:463053,Robespierre,IDFM:21913,"Porte de Montreuil",97,1323
IDFM:21913,"Porte de Montreuil",IDFM:21936,Maraîchers,64,1337
IDFM:21936,Maraîchers,IDFM:25084,Buzenval,53,1337
IDFM:25084,Buzenval,IDFM:462942,Nation,74,1337
IDFM:21926,Havre-Caumartin,IDFM:463144,"Chaussée d'Antin - La Fayette",56,1397
IDFM:463144,"Chaussée d'Antin - La Fayette",IDFM:21921,"Richelieu - Drouot",53,1397
IDFM:21921,"Richelieu - Drouot",IDFM:21909,"Grands Boulevards",56,1397
IDFM:21909,"Grands Boulevards",IDFM:463133,"Bonne Nouvelle",52,1397
IDFM:463133,"Bonne Nouvelle",IDFM:21920,"Strasbourg - Saint-Denis",60,1397
IDFM:21920,"Strasbourg - Saint-Denis",IDFM:21918,République,79,1397
IDFM:21918,République,IDFM:21925,Oberkampf,64,1397
IDFM:21925,Oberkampf,IDFM:21910,Saint-Ambroise,69,1397
IDFM:21910,Saint-Ambroise,IDFM:463325,Voltaire,67,1397
IDFM:463325,Voltaire,IDFM:463143,Charonne,56,1397
IDFM:463143,Charonne,IDFM:22442,"Rue des Boulets",63,1397
IDFM:22442,"Rue des Boulets",IDFM:21919,Nation,67,1397
IDFM:21919,Nation,IDFM:463039,Buzenval,70,1397
IDFM:463039,Buzenval,IDFM:463215,Maraîchers,53,1397
IDFM:463215,Maraîchers,IDFM:463279,"Porte de Montreuil",63,1397
IDFM:463279,"Porte de Montreuil",IDFM:21942,Robespierre,103,1404
IDFM:21942,Robespierre,IDFM:21943,"Croix de Chavaux",84,1404
IDFM:21943,"Croix de Chavaux",IDFM:21941,"Mairie de Montreuil",86,1404
IDFM:21938,"Pont de Sèvres",IDFM:21939,Billancourt,74,1330
IDFM:21939,Billancourt,IDFM:462914,"Marcel Sembat",66,1330
IDFM:462914,"Marcel Sembat",IDFM:21914,"Porte de Saint-Cloud",109,1330
IDFM:21914,"Porte de Saint-Cloud",IDFM:21930,Exelmans,82,1396
IDFM:21930,Exelmans,IDFM:463239,"Michel-Ange - Molitor",44,1396
IDFM:463239,"Michel-Ange - Molitor",IDFM:21922,"Michel-Ange - Auteuil",48,1396
IDFM:21922,"Michel-Ange - Auteuil",IDFM:21928,Jasmin,74,1396
IDFM:21928,Jasmin,IDFM:21915,Ranelagh,51,1396
IDFM:21915,Ranelagh,IDFM:463203,"La Muette",52,1396
IDFM:463203,"La Muette",IDFM:21908,"Rue de la Pompe",102,1396
IDFM:21908,"Rue de la Pompe",IDFM:21917,Trocadéro,65,1396
IDFM:21917,Trocadéro,IDFM:21927,Iéna,66,1396
IDFM:21927,Iéna,IDFM:463052,"Alma - Marceau",67,1396
IDFM:463052,"Alma - Marceau",IDFM:463180,"Franklin D. Roosevelt",84,1396
IDFM:463180,"Franklin D. Roosevelt",IDFM:462915,Saint-Philippe-du-Roule,58,1396
IDFM:462915,Saint-Philippe-du-Roule,IDFM:462957,Miromesnil,59,1396
IDFM:462957,Miromesnil,IDFM:21911,Saint-Augustin,69,1396
IDFM:21911,Saint-Augustin,IDFM:21926,Havre-Caumartin,63,1396
IDFM:22400,"Villejuif - Louis Aragon",IDFM:22401,"Villejuif Paul Vaillant-Couturier",91,319
IDFM:22401,"Villejuif Paul Vaillant-Couturier",IDFM:463323,"Villejuif Léo Lagrange",101,319
IDFM:463323,"Villejuif Léo Lagrange",IDFM:463107,"Le Kremlin-Bicêtre",68,319
IDFM:463107,"Le Kremlin-Bicêtre",IDFM:22385,"Maison Blanche",114,319
IDFM:22385,"Maison Blanche",IDFM:22370,Tolbiac,62,630
IDFM:22370,Tolbiac,IDFM:463026,"Place d'Italie",71,630
IDFM:463026,"Place d'Italie",IDFM:463216,"Les Gobelins",64,625
IDFM:463216,"Les Gobelins",IDFM:22391,"Censier - Daubenton",70,625
IDFM:22391,"Censier - Daubenton",IDFM:22366,"Place Monge",52,625
IDFM:22366,"Place Monge",IDFM:22386,Jussieu,64,625
IDFM:22386,Jussieu,IDFM:463265,"Sully - Morland",92,625
IDFM:463265,"Sully - Morland",IDFM:463231,"Pont Marie (Cité des Arts)",58,625
IDFM:463231,"Pont Marie (Cité des Arts)",IDFM:22364,Châtelet,77,625
IDFM:22364,Châtelet,IDFM:463232,"Pont Neuf",69,625
IDFM:463232,"Pont Neuf",IDFM:463249,"Palais Royal - Musée du Louvre",90,625
IDFM:463249,"Palais Royal - Musée du Louvre",IDFM:22375,Pyramides,59,625
IDFM:22375,Pyramides,IDFM:463245,Opéra,69,625
IDFM:463245,Opéra,IDFM:22388,"Chaussée d'Antin - La Fayette",63,625
IDFM:22388,"Chaussée d'Antin - La Fayette",IDFM:463206,"Le Peletier",59,625
IDFM:463206,"Le Peletier",IDFM:22390,Cadet,57,625
IDFM:22390,Cadet,IDFM:463255,Poissonnière,45,625
IDFM:463255,Poissonnière,IDFM:463001,"Gare de l'Est",93,625
IDFM:463001,"Gare de l'Est",IDFM:22367,"Château Landon",57,625
IDFM:22367,"Château Landon",IDFM:463033,"Louis Blanc",62,625
IDFM:463033,"Louis Blanc",IDFM:22368,Stalingrad,68,625
IDFM:22368,Stalingrad,IDFM:22371,Riquet,59,625
IDFM:22371,Riquet,IDFM:463155,Crimée,55,625
IDFM:463155,Crimée,IDFM:22389,"Corentin Cariou",62,625
IDFM:22389,"Corentin Cariou",IDFM:22374,"Porte de la Villette",71,625
IDFM:22374,"Porte de la Villette",IDFM:463031,"Aubervilliers - Pantin - Quatre Chemins",96,633
IDFM:463031,"Aubervilliers - Pantin - Quatre Chemins",IDFM:463179,"Fort d'Aubervilliers",114,633
IDFM:463179,"Fort d'Aubervilliers",IDFM:22395,"La Courneuve - 8 Mai 1945",103,633
IDFM:22396,"Mairie d'Ivry",IDFM:463251,"Pierre et Marie Curie",96,311
IDFM:463251,"Pierre et Marie Curie",IDFM:22372,"Porte d'Ivry",87,311
IDFM:22372,"Porte d'Ivry",IDFM:22373,"Porte de Choisy",59,311
IDFM:22373,"Porte de Choisy",IDFM:463235,"Porte d'Italie",52,311
IDFM:463235,"Porte d'Italie",IDFM:22385,"Maison Blanche",59,311
IDFM:463007,"Porte de la Villette",IDFM:463152,"Corentin Cariou",72,660
IDFM:463152,"Corentin Cariou",IDFM:22392,Crimée,61,660
IDFM:22392,Crimée,IDFM:463295,Riquet,53,660
IDFM:463295,Riquet,IDFM:463008,Stalingrad,58,660
IDFM:463008,Stalingrad,IDFM:22384,"Louis Blanc",67,660
IDFM:22384,"Louis Blanc",IDFM:463006,"Château Landon",74,660
IDFM:463006,"Château Landon",IDFM:22387,"Gare de l'Est",57,660
IDFM:22387,"Gare de l'Est",IDFM:22377,Poissonnière,92,660
IDFM:22377,Poissonnière,IDFM:463139,Cadet,47,660
IDFM:463139,Cadet,IDFM:22382,"Le Peletier",58,660
IDFM:22382,"Le Peletier",IDFM:463145,"Chaussée d'Antin - La Fayette",58,660
IDFM:463145,"Chaussée d'Antin - La Fayette",IDFM:22381,Opéra,72,660
IDFM:22381,Opéra,IDFM:463283,Pyramides,63,660
IDFM:463283,Pyramides,IDFM:22376,"Palais Royal - Musée du Louvre",56,660
