zdc_a,zdb_b,duree_mediane_secondes,nb_observations
64811,64829,414,8
73604,473026,467,22
65969,65970,381,8
71576,479994,425,8
71937,71940,448,8
67873,415522,444,20
65994,74071,478,38
71138,73640,482,6
71511,73672,438,18
65191,478524,333,8
70076,415098,424,8
72142,474399,417,8
60514,60537,395,18
71283,482825,422,14
63624,63638,475,6
66746,66767,407,12
425849,490779,416,12
63664,63701,451,8
71742,71756,427,44
420255,482339,371,4
62375,62385,487,8
72902,72907,431,8
71449,73662,412,8
73245,73249,417,2
69355,69357,343,16
69973,73964,278,8
73124,73130,434,6
60419,60450,445,78
482352,482832,265,8
65785,482069,457,2
72189,72204,439,10
71250,71262,390,4
60154,424399,331,8
62596,67388,466,24
65596,420953,376,8
71982,496913,348,2
71536,74003,335,4
60915,477075,422,22
64737,64755,407,8
60961,60964,350,8
65933,65958,427,8
62264,62271,450,6
71054,481039,463,12
63165,425949,404,8
71693,482696,443,20
69919,69932,448,6
63973,479376,470,8
70099,480755,378,44
64146,64162,377,8
71710,71711,464,12
63261,63270,480,16
71498,74027,411,4
63091,63108,435,2
71302,71317,468,4
71031,71043,455,12
68000,68018,382,12
66924,488096,342,2
71409,474355,397,54
62297,62301,402,8
73375,73390,463,16
60193,60230,463,2
66965,66978,448,10
70113,412677,462,10
70549,70604,494,4
63880,477992,420,12
60117,60133,389,8
70483,70532,312,8
61975,481666,407,8
427089,490779,450,12
71316,71337,427,60
71080,71089,428,12
72704,72709,376,12
71218,73618,434,28
70039,70066,361,8
71236,73644,500,2
72629,72634,386,6
72754,72755,437,16
63086,478852,432,12
69777,485809,435,8
70820,70832,441,8
421035,462241,355,18
73058,73068,437,8
72211,72222,405,28
70775,70782,1257,10
70387,70410,347,24
66535,419673,463,8
65569,478399,498,2
65255,65260,436,16
72486,482718,429,76
70193,70207,368,4
66187,423648,483,16
69385,69387,492,4
61526,61532,495,4
68557,68564,465,8
66639,66646,379,10
72099,72103,414,16
72463,72478,428,86
71073,71099,423,16
70701,73890,301,4
61538,61543,425,4
68108,68117,435,8
72344,73873,368,12
71212,71220,456,10
71255,474150,413,12
60283,422641,400,2
73123,73131,454,6
72295,72307,340,16
70938,488087,441,2
68557,68577,423,14
71015,412737,442,10
72477,482718,314,40
64259,64265,381,16
70519,70542,446,8
60317,60328,349,8
72226,72239,458,6
65755,65769,415,12
71450,71453,450,50
71347,73656,390,26
73131,73136,434,12
71324,71331,439,14
70984,71001,462,28
73392,73395,368,16
420835,483783,474,8
63520,63544,435,6
69519,69528,489,2
65147,478933,458,4
67708,67711,441,8
65457,65508,387,8
70445,70479,464,16
73348,479834,466,12
69858,69887,451,8
66353,66371,400,8
69824,425723,436,10
420151,480353,389,16
66774,66788,427,12
72478,72483,391,20
62753,424624,299,8
67612,426361,435,2
71440,71442,438,6
69462,70012,449,12
70790,70792,412,14
71293,482796,314,12
72411,72412,284,4
70984,73670,397,8
69501,69503,465,16
66876,424504,375,4
71329,71859,474,4
64177,64183,408,24
68720,68725,384,4
72077,72099,443,12
64604,64618,482,8
68116,68134,464,2
65968,65978,352,8
69262,69263,470,8
67779,67781,328,8
72098,420661,428,8
73935,478350,358,10
71533,422805,380,6
72261,73820,441,14
67775,67785,481,10
72110,72121,413,6
70738,70749,494,4
64173,64178,346,8
70479,70483,476,2
72250,74021,396,6
72730,72746,359,20
71348,71379,479,2
65726,482771,482,2
69505,69508,317,4
71182,71204,408,14
65041,65047,447,8
72074,416091,441,6
69884,69902,455,8
65040,65069,334,8
70643,70662,434,16
64589,426072,350,74
71524,71530,396,20
71222,71226,462,4
72660,72672,443,8
69176,69189,484,2
66217,66249,476,8
63855,424821,349,8
71117,71138,476,6
71412,74005,307,14
71018,74056,397,22
65506,65538,355,2
65232,65278,468,12
70255,70290,452,16
64822,488071,247,4
71558,414770,418,10
70013,70020,461,18
71091,71128,454,24
71914,71925,469,16
73492,73497,393,14
70426,73701,393,16
474351,482833,449,10
66927,488097,363,8
71410,478733,329,40
60450,420820,438,48
71590,479918,380,46
71751,71762,461,16
62792,62793,371,8
69973,412732,436,8
71890,71916,412,4
64913,64934,480,8
71138,71160,445,26
69707,69719,467,4
70579,494519,544,2
61461,61471,817,12
60476,60496,401,8
65295,65309,418,8
71289,71306,445,12
60724,418987,376,8
72377,426600,438,4
71721,71750,430,16
71890,424088,452,12
74059,479900,472,10
69282,485820,410,2
71082,71100,399,32
64805,64832,404,12
72915,72919,476,8
71669,71680,356,20
63235,486992,392,16
72239,74024,409,4
63128,480003,376,8
71403,493489,401,4
65778,65931,496,6
67177,419670,387,16
66972,66981,408,8
60477,60522,491,6
60996,485783,357,4
71410,480615,390,60
63614,63626,414,8
70418,70440,428,12
71783,73215,415,10
71737,71739,474,8
72768,73526,474,10
65710,65737,415,14
59719,59724,482,4
71442,71455,436,56
73366,73371,419,12
71042,479948,341,10
70638,478866,456,12
71465,71497,465,16
73187,73190,441,24
71878,71899,494,10
68552,68573,465,8
61949,61957,455,2
60100,60106,425,2
71004,71016,452,20
70763,70771,481,8
73280,490707,485,6
70677,73623,441,4
69648,69653,353,30
61590,61594,397,4
65399,483251,358,36
490779,491566,489,6
72112,72123,425,10
65010,65028,433,8
72286,74057,496,10
71536,73673,377,2
68524,68557,470,4
72434,479938,345,18
71456,71473,375,28
68871,480492,487,8
73788,482793,408,14
71461,73664,451,6
66669,66709,449,4
71132,71158,483,14
65015,65033,452,2
63936,63965,407,12
61411,61420,455,8
69493,70410,405,16
71594,71596,428,12
71451,474351,332,12
63963,480952,411,16
72139,485815,462,10
72475,72491,469,8
74014,485810,354,6
60758,74241,394,4
63504,63534,431,8
426083,426450,470,4
71450,71470,445,52
70434,70459,448,2
64109,64118,421,8
60780,60797,387,24
65950,491307,491,4
71556,478883,394,66
72450,72478,451,4
71472,71485,419,36
71469,482782,319,16
71681,479928,387,10
64986,64994,383,8
73210,73215,360,8
65991,66094,465,4
71311,492967,399,30
62258,62259,383,8
65935,65961,469,8
462671,485874,422,8
68504,68527,471,6
72638,72642,457,8
71039,464026,364,10
63089,63116,481,8
65371,65377,438,4
64609,64616,427,12
66915,73762,454,12
65987,66022,420,12
59577,478855,421,40
60320,60335,402,2
67436,67449,468,4
60623,60664,485,14
72078,480881,361,18
70634,463658,412,8
65663,424932,447,4
71162,71166,471,28
69724,69749,309,16
71547,72078,432,16
66258,66290,358,12
73477,480715,302,8
65191,72377,463,2
71045,479853,349,22
69921,69923,326,8
66103,66198,476,6
63563,63596,410,8
73200,73204,447,12
71415,71435,435,40
62720,62776,487,2
73492,73505,474,6
72057,480349,453,12
60221,60236,489,8
71122,71140,466,4
71337,482792,481,18
479994,481111,456,10
71718,415674,380,86
69901,480872,315,12
72832,72836,462,6
71352,71369,490,8
63822,63838,339,4
64758,64771,371,24
66237,66258,390,16
463639,463655,477,2
426985,478855,363,36
73626,73847,464,20
71557,71561,455,10
71452,71467,431,14
69831,483316,480,4
72434,479939,352,36
70481,70491,450,6
72989,419138,439,10
71194,71207,437,8
70711,71097,395,24
70636,479957,403,32
67404,67409,433,4
71635,71661,463,4
61570,485791,473,2
70863,70868,420,8
71410,73793,320,42
73661,74186,424,30
63502,63511,385,8
71010,71024,403,6
73509,73522,461,6
66861,490530,376,8
72586,72595,419,4
72028,495771,386,28
70965,70966,482,10
70948,70952,400,12
486959,490803,223,4
63563,63586,363,8
68357,68369,386,8
66535,66550,337,28
72019,72024,423,16
73316,478648,362,16
70877,483401,413,10
