ARRONDISSEMENT;TYPE;STATUT;ADRESSE;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d;gestionnaire;source;complement_adresse
75014;Sanisette;En service;193 rue d'alesia;24/24h;Oui;Non;;"{""coordinates"": [2.315755000561693, 48.83140699960149], ""type"": ""Point""}";48.83140699960149, 2.315755000561693;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75014;WC;En service;24 rue mouton-duvernet;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-de-l-aspirant-dunand-2543;"{""coordinates"": [2.3268802422669674, 48.83229243203558], ""type"": ""Point""}";48.83229243203558, 2.3268802422669674;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;12 rue rebeval;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3763659997192055, 48.87407599960259], ""type"": ""Point""}";48.87407599960259, 2.3763659997192055;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;WC;En service;7 rue botzaris;Horaires du parc;Non;Non;https://www.paris.fr/lieux/parc-des-buttes-chaumont-1757;"{""coordinates"": [2.380334555394377, 48.8801430164065], ""type"": ""Point""}";48.8801430164065, 2.380334555394377;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;52 bd marguerite de rochechouart;21h59 - 22h00;Oui;Non;;"{""coordinates"": [2.345855999825567, 48.88324600019954], ""type"": ""Point""}";48.88324600019954, 2.345855999825567;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;161 rue de crimee;24/24h;Oui;Non;;"{""coordinates"": [2.3790580004698865, 48.888842000218574], ""type"": ""Point""}";48.888842000218574, 2.3790580004698865;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;Sanisette;En service;14 av du professeur andre lemierre;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.415241999740021, 48.85533899971065], ""type"": ""Point""}";48.85533899971065, 2.415241999740021;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;WC;En service;12 rue michel de bourges;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-casque-d-or-2713;"{""coordinates"": [2.401213778352068, 48.85392001355039], ""type"": ""Point""}";48.85392001355039, 2.401213778352068;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75006;Sanisette;En service;135b bd du montparnasse;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.332351000486413, 48.84122000004061], ""type"": ""Point""}";48.84122000004061, 2.332351000486413;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75010;Sanisette;En service;195 rue du faubourg poissonniere;21h59 - 22h00;Oui;Non;;"{""coordinates"": [2.3496630005578174, 48.88326399964491], ""type"": ""Point""}";48.88326399964491, 2.3496630005578174;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
