Nom de l'arrêt;Coordonnées OSM;ArTGeopoint;ID ArR;id_arr;ArTId;Code de ligne (OSM);Distance (km);Distance (m);Geo Shape;wheelchair;source:wheelchair;ArTName;Zone de transport;bench;bin;lit;shelter;tactile_paving;FournisseurId;FournisseurName;ArTTown;ArTPostalRegion;ArTPublicCode
Caraman;48.8955688,2.0781764;48.89552339060192, 2.0781298130198986;34575;34575;50174031;R6;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.0781764, 48.8955688]}";;;Caraman;4;yes;;;yes;;532;SAINT GERMAIN BOUCLES DE SEINE;Saint-Germain-en-Laye;78551;-
Gare du Bel Air;48.8957776,2.0708946;48.895854408111376, 2.0709219966422365;34590;34590;50234622;"R1;R6";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.0708946, 48.8957776]}";yes;STIF 2018-05;Gare du Bel Air;4;;;;yes;;765;T12-T13;Saint-Germain-en-Laye;78551;-
Jean Moulin;48.9577994,1.862261;48.95771952661419, 1.8622919739248036;416445;416445;50098285;40;0.01;10;"{""type"": ""Point"", ""coordinates"": [1.862261, 48.9577994]}";;;Jean Moulin;5;;;;yes;;535;MANTOIS;Aubergenville;78029;-
40 Sous / Route d'Orgeval;48.9272108,1.985761;48.92721564568538, 1.985687402513946;13378;13378;50168726;"19;100;50;20;14";0.01;10;"{""type"": ""Point"", ""coordinates"": [1.985761, 48.9272108]}";;;40 Sous / Route d'Orgeval;5;yes;;;yes;;534;POISSY - LES MUREAUX;Orgeval;78466;-
Le Petit Moulin;48.964769,1.9232889;48.964865275796235, 1.9232304055976712;14134;14134;50167564;"19;13;21";0.01;10;"{""type"": ""Point"", ""coordinates"": [1.9232889, 48.964769]}";;;Le Petit Moulin;5;yes;;;yes;;534;POISSY - LES MUREAUX;Chapet;78140;-
Champlain - Pagnol;48.799289,2.5535689;48.7993478329814, 2.5535571567461495;22443;22443;50234799;208b;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.5535689, 48.799289]}";yes;STIF 2018-07;Champlain - Pagnol;4;yes;yes;;yes;;546;POMPADOUR;Chennevières-sur-Marne;94019;-
Route de Croissy;48.8966008,2.1154522;48.89657776060869, 2.1153761997701817;32290;32290;50195300;"20;21M";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.1154522, 48.8966008]}";yes;STIF 2018-05;Route de Croissy;4;;;;no;;528;GRAND VERSAILLES;Le Pecq;78481;-
Route de Nangis;48.5413206,2.6793732;48.54134215526451, 2.679479475022028;419777;419777;50187563;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.6793732, 48.5413206]}";;;Route de Nangis;5;;;;yes;;513;PAYS BRIARD;Melun;77288;-
Mairie;48.5666156,3.3227918;48.566658313549496, 3.3229116928502416;10021;10021;50194024;;0.01;10;"{""type"": ""Point"", ""coordinates"": [3.3227918, 48.5666156]}";;;Mairie de Saint-Brice;5;;;;;;514;PROVINOIS – BRIE ET SEINE;Saint-Brice;77403;-
Gare de Longjumeau;48.7021435,2.2941025;48.70216383822114, 2.2942948627298057;416472;416472;50098356;"A;C;D;E";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.2941025, 48.7021435]}";;;Gare RER Longjumeau;4;;;;no;;100;PARISSACLAYMOBILITES;Longjumeau;91345;-
